States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,159,0,212,2020-07-22,11.7401,92.6586
Andhra Pradesh,25574,758,58668,2020-07-22,15.9129,79.74
Arunachal Pradesh,303,3,858,2020-07-22,28.218,94.7278
Assam,18033,58,25382,2020-07-22,26.2006,92.9376
Bihar,18515,217,28952,2020-07-22,25.0961,85.3131
Chandigarh,518,12,751,2020-07-22,30.7333,76.7794
Chhattisgarh,4114,29,5729,2020-07-22,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,463,2,705,2020-07-22,,
Delhi,106118,3690,125096,2020-07-22,28.7041,77.1025
Goa,2449,26,4027,2020-07-22,15.2993,74.124
Gujarat,36423,2196,50379,2020-07-22,22.2587,71.1924
Haryana,20952,364,27462,2020-07-22,29.0588,76.0856
Himachal Pradesh,1077,11,1664,2020-07-22,31.1048,77.1734
Jammu and Kashmir,8455,263,15258,2020-07-22,33.7782,76.5762
Jharkhand,2904,55,6159,2020-07-22,23.6102,85.2799
Karnataka,25459,1464,71069,2020-07-22,15.3173,75.7139
Kerala,5890,44,13994,2020-07-22,10.8505,76.2711
Ladakh,1010,2,1198,2020-07-22,34.2996,78.2932
Madhya Pradesh,16257,756,24095,2020-07-22,22.9734,78.6569
Maharashtra,182217,12276,327031,2020-07-22,19.7515,75.7139
Manipur,1400,0,2015,2020-07-22,24.6637,93.9063
Meghalaya,70,4,490,2020-07-22,25.467,91.3662
Mizoram,168,0,317,2020-07-22,23.1645,92.9376
Nagaland,485,0,1030,2020-07-22,26.1584,94.5624
Odisha,13310,103,18757,2020-07-22,20.9517,85.0985
Puducherry,1318,30,2179,2020-07-22,11.9416,79.8083
Punjab,7389,263,10889,2020-07-22,31.1471,75.3412
Rajasthan,22744,577,31373,2020-07-22,27.0238,74.2179
Sikkim,108,0,330,2020-07-22,,
Tamil Nadu,126670,2626,180643,2020-07-22,11.1271,78.6569
Telangana,37385,429,47705,2020-07-22,,
Tripura,1926,8,3331,2020-07-22,23.9408,91.9882
Uttarakhand,3297,55,4849,2020-07-22,30.0668,79.0193
Uttar Pradesh,31855,1229,53288,2020-07-22,26.8467,80.9462
