States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,163,0,221,2020-07-23,11.7401,92.6586
Andhra Pradesh,32127,823,64713,2020-07-23,15.9129,79.74
Arunachal Pradesh,314,3,949,2020-07-23,28.218,94.7278
Assam,18033,64,26772,2020-07-23,26.2006,92.9376
Bihar,19646,217,30369,2020-07-23,25.0961,85.3131
Chandigarh,526,13,793,2020-07-23,30.7333,76.7794
Chhattisgarh,4230,29,5968,2020-07-23,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,474,2,733,2020-07-23,,
Delhi,107650,3719,126323,2020-07-23,28.7041,77.1025
Goa,2541,28,4176,2020-07-23,15.2993,74.124
Gujarat,37260,2224,51399,2020-07-23,22.2587,71.1924
Haryana,21697,372,28186,2020-07-23,29.0588,76.0856
Himachal Pradesh,1105,11,1725,2020-07-23,31.1048,77.1734
Jammu and Kashmir,8607,273,15711,2020-07-23,33.7782,76.5762
Jharkhand,3024,64,6485,2020-07-23,23.6102,85.2799
Karnataka,27239,1519,75833,2020-07-23,15.3173,75.7139
Kerala,6162,45,15032,2020-07-23,10.8505,76.2711
Ladakh,1018,2,1206,2020-07-23,34.2996,78.2932
Madhya Pradesh,16836,770,24842,2020-07-23,22.9734,78.6569
Maharashtra,187769,12556,337607,2020-07-23,19.7515,75.7139
Manipur,1428,0,2060,2020-07-23,24.6637,93.9063
Meghalaya,77,4,514,2020-07-23,25.467,91.3662
Mizoram,179,0,317,2020-07-23,23.1645,92.9376
Nagaland,486,0,1084,2020-07-23,26.1584,94.5624
Odisha,13750,108,19835,2020-07-23,20.9517,85.0985
Puducherry,1369,31,2300,2020-07-23,11.9416,79.8083
Punjab,7641,269,11301,2020-07-23,31.1471,75.3412
Rajasthan,23364,583,32334,2020-07-23,27.0238,74.2179
Sikkim,112,0,438,2020-07-23,,
Tamil Nadu,131583,3144,186492,2020-07-23,11.1271,78.6569
Telangana,37666,438,49259,2020-07-23,,
Tripura,2032,9,3449,2020-07-23,23.9408,91.9882
Uttarakhand,3349,57,5300,2020-07-23,30.0668,79.0193
Uttar Pradesh,33500,1263,55588,2020-07-23,26.8467,80.9462
