States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,174,0,259,2020-07-25,11.7401,92.6586
Andhra Pradesh,39935,933,80858,2020-07-25,15.9129,79.74
Arunachal Pradesh,392,3,1056,2020-07-25,28.218,94.7278
Assam,21761,76,29921,2020-07-25,26.2006,92.9376
Bihar,22343,220,33926,2020-07-25,25.0961,85.3131
Chandigarh,535,13,823,2020-07-25,30.7333,76.7794
Chhattisgarh,4567,36,6731,2020-07-25,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,512,2,815,2020-07-25,,
Delhi,110931,3777,128389,2020-07-25,28.7041,77.1025
Goa,2865,29,4540,2020-07-25,15.2993,74.124
Gujarat,38849,2278,53545,2020-07-25,22.2587,71.1924
Haryana,22953,382,29755,2020-07-25,29.0588,76.0856
Himachal Pradesh,1145,11,1954,2020-07-25,31.1048,77.1734
Jammu and Kashmir,9217,296,16782,2020-07-25,33.7782,76.5762
Jharkhand,3307,70,7493,2020-07-25,23.6102,85.2799
Karnataka,31347,1724,85870,2020-07-25,15.3173,75.7139
Kerala,7562,54,16995,2020-07-25,10.8505,76.2711
Ladakh,1035,2,1246,2020-07-25,34.2996,78.2932
Madhya Pradesh,17866,791,26210,2020-07-25,22.9734,78.6569
Maharashtra,199967,13132,357117,2020-07-25,19.7515,75.7139
Manipur,1491,0,2146,2020-07-25,24.6637,93.9063
Meghalaya,87,5,588,2020-07-25,25.467,91.3662
Mizoram,183,0,361,2020-07-25,23.1645,92.9376
Nagaland,537,1,1239,2020-07-25,26.1584,94.5624
Odisha,15201,120,22693,2020-07-25,20.9517,85.0985
Puducherry,1483,35,2515,2020-07-25,11.9416,79.8083
Punjab,8096,282,12216,2020-07-25,31.1471,75.3412
Rajasthan,24547,602,34178,2020-07-25,27.0238,74.2179
Sikkim,142,0,477,2020-07-25,,
Tamil Nadu,143297,3320,199749,2020-07-25,11.1271,78.6569
Telangana,40334,455,52466,2020-07-25,,
Tripura,2131,11,3759,2020-07-25,23.9408,91.9882
Uttarakhand,3399,60,5445,2020-07-25,30.0668,79.0193
Uttar Pradesh,37712,1348,60771,2020-07-25,26.8467,80.9462
