States,Recovered,Death,Total Cases,Date,Latitude,Longitude
Andaman and Nicobar Islands,176,0,290,2020-07-26,11.7401,92.6586
Andhra Pradesh,43255,985,88671,2020-07-26,15.9129,79.74
Arunachal Pradesh,428,3,1126,2020-07-26,28.218,94.7278
Assam,23055,77,31086,2020-07-26,26.2006,92.9376
Bihar,24053,234,36604,2020-07-26,25.0961,85.3131
Chandigarh,555,13,852,2020-07-26,30.7333,76.7794
Chhattisgarh,4683,39,7087,2020-07-26,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,530,2,860,2020-07-26,,
Delhi,113068,3806,129531,2020-07-26,28.7041,77.1025
Goa,3047,33,4686,2020-07-26,15.2993,74.124
Gujarat,39631,2300,54626,2020-07-26,22.2587,71.1924
Haryana,23654,389,30538,2020-07-26,29.0588,76.0856
Himachal Pradesh,1173,11,2049,2020-07-26,31.1048,77.1734
Jammu and Kashmir,9517,305,17305,2020-07-26,33.7782,76.5762
Jharkhand,3425,82,7836,2020-07-26,23.6102,85.2799
Karnataka,33750,1796,90942,2020-07-26,15.3173,75.7139
Kerala,8611,59,18098,2020-07-26,10.8505,76.2711
Ladakh,1057,3,1276,2020-07-26,34.2996,78.2932
Madhya Pradesh,18488,799,26926,2020-07-26,22.9734,78.6569
Maharashtra,207194,13389,366368,2020-07-26,19.7515,75.7139
Manipur,1524,0,2176,2020-07-26,24.6637,93.9063
Meghalaya,94,5,646,2020-07-26,25.467,91.3662
Mizoram,183,0,361,2020-07-26,23.1645,92.9376
Nagaland,541,4,1289,2020-07-26,26.1584,94.5624
Odisha,15929,130,24013,2020-07-26,20.9517,85.0985
Puducherry,1561,38,2654,2020-07-26,11.9416,79.8083
Punjab,8297,291,12684,2020-07-26,31.1471,75.3412
Rajasthan,25306,613,35298,2020-07-26,27.0238,74.2179
Sikkim,142,0,499,2020-07-26,,
Tamil Nadu,151055,3409,206737,2020-07-26,11.1271,78.6569
Telangana***,40334,455,52466,2020-07-26,,
Tripura,2209,11,3862,2020-07-26,23.9408,91.9882
Uttarakhand,3495,63,5961,2020-07-26,30.0668,79.0193
Uttar Pradesh,39903,1387,63742,2020-07-26,26.8467,80.9462
West Bengal,35654,1332,56377,2020-07-26,22.9868,87.855
