States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,16,11,0,2020-04-22,11.7401,92.6586
Andhra Pradesh,757,96,22,2020-04-22,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-22,28.218,94.7278
Assam,35,19,1,2020-04-22,26.2006,92.9376
Bihar,126,42,2,2020-04-22,25.0961,85.3131
Chandigarh,27,14,0,2020-04-22,30.7333,76.7794
Chhattisgarh,36,26,0,2020-04-22,21.2787,81.8661
Delhi,2156,611,47,2020-04-22,28.7041,77.1025
Goa,7,7,0,2020-04-22,15.2993,74.124
Gujarat,2178,139,90,2020-04-22,22.2587,71.1924
Haryana,254,127,3,2020-04-22,29.0588,76.0856
Himachal Pradesh,39,16,1,2020-04-22,31.1048,77.1734
Jammu and Kashmir,380,81,5,2020-04-22,33.7782,76.5762
Jharkhand#,45,0,3,2020-04-22,,
Karnataka,418,129,17,2020-04-22,15.3173,75.7139
Kerala,427,307,3,2020-04-22,10.8505,76.2711
Ladakh,18,14,0,2020-04-22,34.2996,78.2932
Madhya Pradesh,1552,148,76,2020-04-22,22.9734,78.6569
Maharashtra,5218,722,251,2020-04-22,19.7515,75.7139
Manipur,2,2,0,2020-04-22,24.6637,93.9063
Meghalaya,12,0,1,2020-04-22,25.467,91.3662
Mizoram,1,0,0,2020-04-22,23.1645,92.9376
Odisha,79,24,1,2020-04-22,20.9517,85.0985
Puducherry,7,3,0,2020-04-22,11.9416,79.8083
Punjab,245,39,16,2020-04-22,31.1471,75.3412
Rajasthan,1659,230,25,2020-04-22,27.0238,74.2179
Tamil Nadu,1596,635,18,2020-04-22,11.1271,78.6569
Telengana,928,194,23,2020-04-22,18.1124,79.0193
Tripura,2,1,0,2020-04-22,23.9408,91.9882
Uttarakhand,46,19,0,2020-04-22,30.0668,79.0193
Uttar Pradesh,1294,140,20,2020-04-22,26.8467,80.9462
West Bengal,423,73,15,2020-04-22,22.9868,87.855
19984*,"
3870
","
640
",,2020-04-22,,
